State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude
Karnataka,Mangalore,2021,March,Thursday,8:12,Minor,4,Pedestrian,10,2,Rainy,State Highway,Damaged,Daylight,Police Checkpost,108,28,Male,,Yes,Intersection,12.951967,77.600329
Jammu and Kashmir,Jammu,2019,August,Saturday,13:29,Minor,1,Truck,5,1,Foggy,State Highway,Wet,Dark,Signs,87,21,Female,Valid,Yes,Bridge,32.704587,74.871588
Mizoram,Champhai,2023,October,Friday,23:46,Fatal,5,Cycle,10,3,Foggy,National Highway,Under Construction,Daylight,Police Checkpost,96,44,Male,,No,Intersection,23.489313,93.326005
Chhattisgarh,Korba,2022,March,Tuesday,22:41,Serious,4,Two-Wheeler,1,5,Clear,State Highway,Wet,Dusk,Signals,79,25,Male,,Yes,Curve,22.36249,82.727169
Odisha,Rourkela,2023,November,Sunday,12:32,Fatal,1,Cycle,7,5,Foggy,Village Road,Under Construction,Dusk,Police Checkpost,46,51,Female,Valid,No,Straight Road,22.253498,84.850058
Bihar,Gaya,2019,August,Sunday,8:27,Serious,2,Bus,9,1,Rainy,National Highway,Wet,Dark,,58,46,Male,,Yes,Intersection,24.809404,85.019121
Arunachal Pradesh,Naharlagun,2020,November,Monday,18:53,Fatal,4,Bus,5,5,Stormy,Village Road,Wet,Daylight,Signals,56,18,Male,,No,Curve,27.113108,93.674408
Jammu and Kashmir,Jammu,2022,June,Monday,21:24,Serious,1,Bus,2,1,Stormy,Village Road,Damaged,Dawn,Signals,70,25,Female,Valid,Yes,Bridge,32.738149,74.851371
Punjab,Patiala,2021,June,Sunday,1:6,Minor,5,Car,10,5,Stormy,National Highway,Under Construction,Daylight,Signals,118,26,Female,Expired,Yes,Straight Road,30.325523,76.411717
Karnataka,Bangalore,2023,December,Tuesday,2:52,Fatal,5,Auto-Rickshaw,7,1,Foggy,Village Road,Dry,Dark,,43,40,Female,,Yes,Bridge,12.988368,77.585555
Haryana,Gurugram,2022,September,Wednesday,15:55,Minor,4,Two-Wheeler,1,2,Rainy,Urban Road,Wet,Dusk,Signals,56,69,Male,,No,Curve,28.460796,77.034225
Odisha,Puri,2021,February,Saturday,13:31,Serious,1,Truck,3,0,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,102,58,Female,Valid,No,Straight Road,19.821033,85.815005
Bihar,Gaya,2018,April,Friday,14:8,Fatal,2,Bus,8,3,Rainy,Village Road,Under Construction,Dark,,118,52,Female,Valid,No,Straight Road,24.807246,84.997946
Goa,Margao,2020,April,Thursday,9:42,Serious,4,Auto-Rickshaw,6,3,Hazy,Urban Road,Under Construction,Dusk,Signs,114,45,Female,Expired,Yes,Straight Road,15.28727,73.979183
Bihar,Bhagalpur,2023,March,Thursday,17:9,Fatal,3,Pedestrian,10,2,Hazy,Urban Road,Wet,Dawn,Signs,105,57,Male,,Yes,Curve,25.227083,86.96703
Telangana,Warangal,2020,October,Friday,14:54,Fatal,5,Car,1,3,Hazy,State Highway,Dry,Dawn,Police Checkpost,116,65,Female,,Yes,Intersection,17.973744,79.581428
West Bengal,Siliguri,2023,January,Thursday,7:57,Fatal,4,Pedestrian,2,4,Foggy,National Highway,Under Construction,Dusk,Signals,88,23,Male,Expired,Yes,Bridge,22.57945,88.366241
Goa,Vasco da Gama,2019,July,Friday,17:47,Serious,5,Truck,5,4,Foggy,National Highway,Wet,Daylight,Signals,75,32,Female,Valid,Yes,Intersection,15.400336,73.825775
West Bengal,Durgapur,2023,September,Friday,9:42,Minor,4,Auto-Rickshaw,10,4,Hazy,Urban Road,Dry,Dark,Police Checkpost,77,32,Female,Expired,Yes,Curve,23.527582,87.329238
West Bengal,Siliguri,2018,November,Friday,20:31,Fatal,3,Cycle,0,5,Stormy,Urban Road,Wet,Dark,Signs,105,19,Female,,No,Curve,22.548521,88.35849
Delhi,Dwarka,2018,December,Tuesday,18:52,Fatal,2,Bus,10,5,Hazy,National Highway,Damaged,Dusk,Signs,109,62,Male,,No,Intersection,28.602258,77.037006
Arunachal Pradesh,Pasighat,2023,August,Thursday,17:45,Fatal,1,Truck,1,2,Stormy,National Highway,Damaged,Dusk,,87,31,Female,,Yes,Bridge,28.051201,95.345835
Bihar,Patna,2019,February,Thursday,12:41,Minor,1,Truck,5,2,Foggy,Village Road,Damaged,Dusk,,96,21,Female,,Yes,Bridge,25.607263,85.142398
Uttarakhand,Haridwar,2023,May,Saturday,6:57,Fatal,5,Auto-Rickshaw,8,0,Rainy,National Highway,Dry,Dusk,Police Checkpost,61,22,Male,,Yes,Intersection,29.959525,78.141407
Himachal Pradesh,Dharamshala,2020,March,Monday,6:27,Minor,2,Cycle,2,3,Clear,Urban Road,Wet,Daylight,Police Checkpost,98,54,Male,Valid,No,Bridge,32.207015,76.307056
Meghalaya,Shillong,2020,July,Saturday,22:32,Minor,5,Cycle,2,5,Rainy,National Highway,Under Construction,Dark,,91,48,Female,Expired,Yes,Intersection,25.569351,91.907223
Uttar Pradesh,Kanpur,2021,April,Sunday,12:6,Serious,3,Car,0,3,Clear,Urban Road,Wet,Dusk,,82,21,Female,Valid,Yes,Curve,26.452364,80.33895
Arunachal Pradesh,Naharlagun,2022,November,Tuesday,18:17,Serious,4,Cycle,6,0,Stormy,Village Road,Under Construction,Dark,Signals,112,47,Male,Expired,Yes,Curve,27.127903,93.711993
Tripura,Agartala,2020,January,Monday,5:34,Minor,2,Bus,7,4,Clear,Urban Road,Under Construction,Dusk,Signs,105,60,Female,Expired,Yes,Curve,23.830225,91.288193
Andhra Pradesh,Visakhapatnam,2018,August,Wednesday,20:44,Minor,5,Auto-Rickshaw,7,2,Hazy,Urban Road,Damaged,Dawn,,112,43,Female,,No,Curve,17.701924,83.234713
Telangana,Hyderabad,2019,July,Wednesday,7:58,Fatal,3,Auto-Rickshaw,10,0,Clear,Village Road,Dry,Daylight,Signs,37,44,Male,Valid,No,Curve,17.386262,78.469972
Assam,Guwahati,2020,November,Monday,7:34,Serious,3,Truck,4,2,Clear,National Highway,Damaged,Dark,Police Checkpost,42,25,Female,Expired,Yes,Curve,26.154485,91.744169
Maharashtra,Mumbai,2021,November,Wednesday,7:24,Fatal,4,Cycle,2,4,Clear,National Highway,Under Construction,Dusk,Signals,35,41,Male,Valid,Yes,Intersection,19.085081,72.860591
Jammu and Kashmir,Baramulla,2022,September,Monday,0:48,Fatal,4,Truck,2,5,Foggy,State Highway,Damaged,Dusk,Police Checkpost,54,58,Male,Valid,Yes,Intersection,34.187059,74.353387
Rajasthan,Jodhpur,2022,November,Monday,19:50,Minor,4,Truck,3,3,Hazy,Village Road,Damaged,Dark,Signs,54,59,Female,Valid,No,Bridge,26.225992,73.002995
Jammu and Kashmir,Anantnag,2023,November,Wednesday,3:5,Minor,5,Truck,7,2,Clear,Urban Road,Damaged,Dark,,114,19,Male,Expired,No,Straight Road,33.743244,75.137289
Arunachal Pradesh,Naharlagun,2018,November,Friday,13:27,Fatal,5,Truck,8,5,Hazy,Urban Road,Wet,Dawn,Police Checkpost,86,55,Female,Expired,No,Straight Road,27.118092,93.708601
Chandigarh,Chandigarh,2019,October,Tuesday,14:20,Serious,4,Two-Wheeler,8,4,Hazy,National Highway,Under Construction,Daylight,Signs,71,33,Male,Valid,No,Curve,30.738179,76.766605
Nagaland,Kohima,2021,November,Friday,18:1,Serious,4,Cycle,0,4,Rainy,Urban Road,Dry,Dawn,Police Checkpost,76,46,Male,,No,Bridge,25.678919,94.098363
Jharkhand,Bokaro,2019,August,Friday,20:32,Serious,4,Truck,6,2,Foggy,Urban Road,Under Construction,Dawn,Signs,84,62,Female,,Yes,Curve,23.68962,86.164186
Haryana,Ambala,2018,April,Friday,4:34,Minor,2,Truck,7,1,Hazy,Urban Road,Under Construction,Daylight,Signs,42,62,Male,Expired,Yes,Straight Road,30.387703,76.793374
Jammu and Kashmir,Anantnag,2023,March,Tuesday,6:39,Minor,5,Car,9,2,Hazy,Village Road,Wet,Dusk,Police Checkpost,46,52,Female,,No,Bridge,33.728257,75.156741
Uttarakhand,Haldwani,2021,February,Wednesday,8:58,Minor,3,Pedestrian,10,3,Foggy,National Highway,Damaged,Dusk,Signs,65,43,Male,,Yes,Intersection,29.229218,79.508042
Sikkim,Gyalshing,2022,August,Wednesday,23:0,Serious,4,Car,5,3,Hazy,Village Road,Under Construction,Dark,,80,22,Female,Expired,Yes,Curve,27.29737,88.24206
Assam,Guwahati,2022,May,Thursday,3:5,Fatal,5,Pedestrian,10,0,Stormy,National Highway,Dry,Dusk,Signs,60,27,Male,Valid,Yes,Intersection,26.143616,91.750415
Maharashtra,Nagpur,2019,August,Thursday,19:13,Fatal,4,Bus,3,3,Rainy,Urban Road,Wet,Dawn,Signals,64,39,Male,,Yes,Straight Road,21.130406,79.076802
Chandigarh,Chandigarh,2023,July,Monday,23:0,Minor,2,Auto-Rickshaw,7,2,Foggy,State Highway,Damaged,Dark,Police Checkpost,100,22,Male,Expired,No,Straight Road,30.728153,76.787324
Tamil Nadu,Chennai,2023,April,Friday,21:17,Fatal,3,Car,2,2,Stormy,State Highway,Dry,Dark,Signals,100,63,Female,Valid,Yes,Bridge,13.076287,80.256753
Assam,Jorhat,2022,June,Saturday,21:29,Minor,5,Pedestrian,10,2,Stormy,State Highway,Wet,Dawn,Signs,61,19,Male,Expired,No,Curve,26.767628,94.19208
Uttar Pradesh,Varanasi,2018,May,Tuesday,13:24,Minor,3,Pedestrian,1,1,Hazy,National Highway,Damaged,Dawn,,34,58,Male,,No,Straight Road,25.319805,82.988057
Chhattisgarh,Korba,2023,April,Sunday,22:11,Minor,4,Auto-Rickshaw,4,2,Foggy,Urban Road,Under Construction,Dawn,,67,58,Female,,No,Straight Road,22.354393,82.739782
Andhra Pradesh,Tirupati,2023,October,Tuesday,3:58,Fatal,4,Cycle,0,2,Rainy,Urban Road,Damaged,Dawn,Police Checkpost,35,41,Male,Valid,No,Intersection,13.615703,79.412678
Goa,Panaji,2022,March,Thursday,0:54,Minor,2,Bus,9,0,Hazy,National Highway,Dry,Dusk,Police Checkpost,115,59,Female,,No,Intersection,15.48952,73.842444
Tamil Nadu,Chennai,2018,January,Tuesday,13:21,Minor,4,Two-Wheeler,0,1,Foggy,Urban Road,Under Construction,Daylight,,69,27,Female,Valid,No,Bridge,13.088903,80.272016
Chhattisgarh,Durg,2018,April,Thursday,6:35,Minor,1,Auto-Rickshaw,8,1,Hazy,Urban Road,Under Construction,Dawn,Signals,75,41,Male,Expired,Yes,Straight Road,21.178935,81.296976
Nagaland,Dimapur,2020,November,Friday,20:15,Fatal,4,Cycle,6,3,Stormy,State Highway,Wet,Daylight,Signals,33,57,Female,,Yes,Straight Road,25.882499,93.720167
Himachal Pradesh,Shimla,2021,November,Monday,7:4,Serious,4,Auto-Rickshaw,0,5,Foggy,State Highway,Damaged,Dark,Police Checkpost,71,21,Female,,No,Intersection,31.112338,77.197647
Puducherry,Karaikal,2022,January,Sunday,2:13,Minor,2,Truck,7,3,Hazy,Village Road,Damaged,Daylight,Signals,34,31,Female,,No,Intersection,10.941752,79.845254
Puducherry,Karaikal,2023,October,Thursday,10:36,Minor,2,Pedestrian,8,1,Clear,Urban Road,Dry,Dusk,Police Checkpost,44,51,Male,Valid,Yes,Intersection,10.932918,79.819231
Puducherry,Puducherry,2018,May,Saturday,17:9,Minor,1,Pedestrian,0,1,Rainy,Village Road,Damaged,Dawn,Signals,88,21,Male,Valid,No,Intersection,11.964321,79.829069
Jammu and Kashmir,Baramulla,2020,July,Friday,2:46,Minor,3,Two-Wheeler,10,0,Stormy,Urban Road,Wet,Dusk,,114,60,Female,Valid,Yes,Intersection,34.196207,74.367221
Delhi,Rohini,2018,June,Wednesday,4:48,Fatal,1,Bus,0,0,Stormy,National Highway,Damaged,Dawn,Police Checkpost,100,40,Female,Valid,No,Bridge,28.735014,77.051901
Uttarakhand,Dehradun,2019,April,Friday,12:40,Minor,4,Cycle,7,5,Clear,State Highway,Dry,Dusk,Police Checkpost,111,69,Male,,Yes,Intersection,30.333033,78.053503
Goa,Margao,2023,June,Monday,7:41,Fatal,1,Cycle,4,2,Hazy,Village Road,Wet,Dark,Signs,50,37,Male,Valid,No,Straight Road,15.305083,73.985085
Punjab,Jalandhar,2019,October,Sunday,15:23,Minor,2,Pedestrian,3,1,Stormy,Village Road,Dry,Dark,Police Checkpost,80,28,Female,Expired,No,Intersection,31.316891,75.567442
West Bengal,Siliguri,2019,April,Sunday,3:12,Minor,2,Bus,10,1,Foggy,National Highway,Under Construction,Dusk,,55,20,Male,Expired,Yes,Bridge,22.560927,88.348989
Tripura,Dharmanagar,2018,November,Saturday,9:30,Serious,5,Two-Wheeler,1,4,Rainy,National Highway,Damaged,Dusk,,108,32,Female,,No,Straight Road,24.348407,92.191357
Rajasthan,Udaipur,2023,April,Saturday,12:42,Serious,2,Bus,5,5,Stormy,National Highway,Dry,Daylight,Police Checkpost,46,51,Male,Valid,No,Intersection,24.56448,73.736669
Nagaland,Mokokchung,2022,November,Sunday,17:53,Serious,4,Pedestrian,1,5,Hazy,Village Road,Under Construction,Dawn,Signs,38,54,Female,Valid,Yes,Bridge,26.333008,94.533192
Rajasthan,Jaipur,2018,August,Friday,12:17,Fatal,3,Pedestrian,3,1,Foggy,National Highway,Dry,Dawn,,98,49,Male,Valid,No,Curve,26.915772,75.771795
Arunachal Pradesh,Itanagar,2023,August,Wednesday,23:40,Serious,1,Pedestrian,0,1,Stormy,National Highway,Wet,Dark,Signs,65,41,Female,Expired,No,Intersection,27.104343,93.62706
Punjab,Amritsar,2022,October,Tuesday,8:15,Fatal,5,Car,1,5,Stormy,National Highway,Wet,Daylight,,52,59,Female,Valid,No,Intersection,31.627913,74.857379
Himachal Pradesh,Solan,2021,July,Tuesday,19:51,Fatal,5,Bus,8,3,Clear,Urban Road,Dry,Dusk,Signs,55,25,Female,,No,Curve,30.897788,77.104654
Kerala,Kochi,2018,June,Wednesday,2:30,Fatal,4,Cycle,0,3,Stormy,Village Road,Damaged,Dusk,Police Checkpost,66,47,Male,,No,Intersection,9.951634,76.262288
Uttarakhand,Haldwani,2022,March,Saturday,10:42,Fatal,1,Bus,4,1,Clear,Village Road,Dry,Dawn,Signals,71,39,Male,Valid,Yes,Intersection,29.202226,79.508576
Chhattisgarh,Raipur,2019,April,Tuesday,21:21,Minor,5,Two-Wheeler,4,4,Stormy,National Highway,Wet,Daylight,,56,21,Male,,No,Curve,21.252205,81.608118
Rajasthan,Jaipur,2021,March,Sunday,4:50,Serious,5,Truck,9,2,Hazy,Urban Road,Damaged,Dusk,Signals,48,23,Male,,No,Intersection,26.914414,75.784192
Kerala,Kochi,2018,August,Monday,13:44,Serious,3,Truck,5,2,Rainy,State Highway,Damaged,Dawn,,81,57,Male,Expired,Yes,Curve,9.93069,76.25552
Tamil Nadu,Coimbatore,2018,August,Friday,16:37,Minor,4,Car,9,2,Foggy,Village Road,Under Construction,Daylight,,75,41,Female,,No,Intersection,11.023922,76.939634
Jharkhand,Bokaro,2022,October,Monday,22:28,Minor,3,Auto-Rickshaw,2,5,Foggy,National Highway,Under Construction,Dawn,Signals,82,63,Female,Valid,No,Curve,23.658436,86.164029
Haryana,Faridabad,2021,September,Wednesday,2:3,Fatal,4,Car,10,0,Hazy,Village Road,Dry,Dusk,Signals,86,51,Male,,Yes,Straight Road,28.4319,77.305283
Maharashtra,Pune,2023,January,Monday,9:40,Minor,2,Two-Wheeler,8,0,Clear,National Highway,Under Construction,Dark,Signals,34,59,Female,Valid,Yes,Straight Road,18.507679,73.8578
Uttarakhand,Dehradun,2023,May,Sunday,12:15,Serious,1,Car,3,2,Hazy,Urban Road,Damaged,Daylight,Signs,70,25,Female,Valid,Yes,Bridge,30.335233,78.011334
Rajasthan,Jodhpur,2020,November,Thursday,5:17,Serious,5,Auto-Rickshaw,6,1,Stormy,Village Road,Under Construction,Daylight,Police Checkpost,50,35,Male,Expired,No,Curve,26.249553,73.000731
Goa,Mapusa,2021,August,Thursday,12:39,Minor,4,Car,9,4,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,36,57,Male,Valid,Yes,Intersection,15.614381,73.784422
Chhattisgarh,Bhilai,2023,November,Wednesday,7:53,Serious,1,Truck,10,0,Foggy,National Highway,Wet,Dusk,Signals,47,24,Female,,No,Bridge,21.221063,81.356295
Mizoram,Lunglei,2021,December,Sunday,2:1,Fatal,4,Bus,4,2,Hazy,State Highway,Wet,Dusk,Police Checkpost,72,32,Female,,Yes,Curve,22.905624,92.744986
Kerala,Kochi,2018,July,Sunday,2:55,Fatal,2,Bus,8,1,Rainy,National Highway,Damaged,Dark,Signs,89,61,Female,Valid,No,Intersection,9.91177,76.255697
Odisha,Rourkela,2023,December,Saturday,17:51,Serious,1,Cycle,4,3,Rainy,National Highway,Dry,Dusk,Signs,48,46,Female,Valid,No,Straight Road,22.275895,84.843522
Uttar Pradesh,Kanpur,2019,March,Friday,22:1,Serious,1,Auto-Rickshaw,8,5,Rainy,Village Road,Under Construction,Dawn,Police Checkpost,57,40,Female,Expired,No,Bridge,26.427775,80.351013
Bihar,Gaya,2023,January,Wednesday,3:17,Fatal,1,Car,7,1,Stormy,National Highway,Damaged,Dusk,Signs,58,67,Female,Expired,No,Curve,24.787362,84.999641
Bihar,Patna,2021,March,Thursday,22:33,Fatal,3,Truck,0,1,Rainy,Village Road,Under Construction,Dark,Police Checkpost,91,57,Female,Expired,Yes,Straight Road,25.570581,85.115074
Kerala,Thrissur,2023,April,Saturday,10:38,Serious,4,Bus,7,3,Foggy,National Highway,Under Construction,Dawn,,105,67,Female,Valid,No,Intersection,10.53674,76.220893
Sikkim,Namchi,2023,June,Friday,0:5,Minor,3,Two-Wheeler,9,4,Clear,National Highway,Wet,Daylight,Signs,59,26,Male,Expired,Yes,Intersection,27.146,88.345005
Chandigarh,Chandigarh,2019,November,Tuesday,10:3,Serious,4,Bus,4,0,Clear,State Highway,Damaged,Dawn,,49,31,Female,Expired,Yes,Bridge,30.743972,76.771917
West Bengal,Kolkata,2020,January,Thursday,23:52,Fatal,3,Pedestrian,9,3,Rainy,State Highway,Damaged,Dark,,47,45,Male,Valid,Yes,Bridge,22.588891,88.342717
Meghalaya,Tura,2020,January,Monday,20:26,Serious,2,Two-Wheeler,3,2,Rainy,Village Road,Under Construction,Dark,,100,29,Female,Valid,No,Curve,25.497842,90.201643
Uttarakhand,Dehradun,2021,July,Sunday,17:53,Fatal,3,Pedestrian,10,0,Foggy,State Highway,Wet,Dawn,,60,26,Female,,Yes,Intersection,30.335621,78.034577
Sikkim,Mangan,2019,May,Monday,3:24,Serious,4,Two-Wheeler,4,0,Clear,Urban Road,Wet,Daylight,Signs,78,38,Female,Expired,No,Curve,27.529503,88.520016
Puducherry,Puducherry,2021,March,Thursday,8:36,Fatal,4,Bus,3,5,Hazy,Urban Road,Under Construction,Daylight,Police Checkpost,84,49,Male,Expired,Yes,Bridge,11.961426,79.787393
Kerala,Thiruvananthapuram,2019,May,Saturday,15:49,Fatal,4,Car,1,0,Clear,Village Road,Wet,Dusk,Police Checkpost,77,60,Female,,Yes,Intersection,8.508535,76.94131
Uttarakhand,Haridwar,2023,September,Wednesday,1:36,Serious,5,Truck,5,3,Hazy,State Highway,Dry,Dusk,,56,41,Male,,Yes,Intersection,29.95549,78.140045
Maharashtra,Nagpur,2022,January,Thursday,15:55,Fatal,1,Pedestrian,2,1,Foggy,National Highway,Dry,Daylight,Police Checkpost,75,44,Female,,Yes,Intersection,21.16058,79.072871
Manipur,Bishnupur,2023,May,Saturday,22:55,Minor,4,Car,5,4,Foggy,Urban Road,Dry,Dark,Signals,50,33,Male,,Yes,Bridge,24.61706,93.764013
Goa,Mapusa,2022,April,Saturday,9:45,Minor,1,Two-Wheeler,2,5,Rainy,National Highway,Under Construction,Dawn,Signals,35,31,Female,,Yes,Intersection,15.566326,73.829817
Uttar Pradesh,Lucknow,2021,December,Saturday,5:26,Serious,2,Bus,9,3,Hazy,State Highway,Damaged,Dusk,Police Checkpost,75,52,Female,Expired,No,Curve,26.839113,80.957064
Kerala,Thrissur,2022,February,Wednesday,23:44,Serious,3,Car,6,3,Clear,Village Road,Dry,Daylight,Signals,51,55,Male,Expired,No,Bridge,10.532997,76.208485
Assam,Silchar,2023,August,Sunday,22:58,Minor,1,Cycle,0,3,Hazy,Village Road,Under Construction,Dawn,Signals,89,34,Female,Valid,Yes,Bridge,24.840489,92.776453
Assam,Guwahati,2019,April,Sunday,7:21,Fatal,1,Bus,3,1,Clear,Urban Road,Damaged,Daylight,Police Checkpost,34,42,Male,Expired,Yes,Straight Road,26.16292,91.736376
Rajasthan,Udaipur,2020,October,Wednesday,23:42,Minor,5,Bus,7,2,Rainy,National Highway,Wet,Dawn,,108,53,Male,,Yes,Intersection,24.599748,73.732426
Bihar,Gaya,2018,February,Wednesday,4:55,Serious,4,Pedestrian,2,0,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,119,59,Female,Expired,No,Bridge,24.801963,84.997246
West Bengal,Kolkata,2022,November,Saturday,22:31,Fatal,1,Cycle,7,5,Foggy,National Highway,Dry,Daylight,Signs,111,65,Female,Expired,No,Straight Road,22.583725,88.344002
Kerala,Kochi,2018,January,Tuesday,5:18,Minor,3,Two-Wheeler,2,3,Stormy,State Highway,Damaged,Dark,Signs,68,26,Female,Valid,No,Straight Road,9.907704,76.252322
Telangana,Nizamabad,2020,January,Monday,15:34,Serious,3,Two-Wheeler,3,0,Hazy,Village Road,Wet,Dawn,Signals,30,23,Female,,No,Curve,18.686033,78.085934
Assam,Dibrugarh,2023,October,Monday,12:7,Fatal,2,Pedestrian,10,0,Rainy,Urban Road,Dry,Dusk,,53,31,Male,,Yes,Curve,27.49753,94.888627
Chandigarh,Chandigarh,2020,April,Sunday,0:55,Serious,4,Two-Wheeler,3,1,Stormy,State Highway,Under Construction,Daylight,Signs,55,62,Male,Valid,No,Straight Road,30.711406,76.782845
Punjab,Ludhiana,2018,August,Saturday,18:56,Fatal,4,Bus,4,5,Stormy,National Highway,Dry,Dusk,Signs,104,35,Female,,Yes,Straight Road,30.880686,75.87168
Tripura,Agartala,2020,April,Monday,10:35,Serious,4,Bus,7,4,Foggy,Village Road,Wet,Dusk,Signs,88,18,Male,Expired,No,Intersection,23.830534,91.271898
Nagaland,Dimapur,2018,July,Saturday,20:0,Fatal,3,Car,6,1,Foggy,State Highway,Dry,Dark,Signals,42,62,Female,Expired,Yes,Bridge,25.891749,93.7237
Andhra Pradesh,Vijayawada,2020,March,Tuesday,6:53,Minor,3,Cycle,4,1,Foggy,Village Road,Dry,Daylight,Signs,57,47,Female,Valid,No,Curve,16.510603,80.646497
Mizoram,Lunglei,2023,February,Friday,8:20,Fatal,5,Pedestrian,2,4,Stormy,National Highway,Dry,Dusk,,43,33,Female,Valid,No,Straight Road,22.883048,92.743002
Karnataka,Bangalore,2020,August,Friday,17:28,Minor,2,Truck,10,0,Rainy,Urban Road,Damaged,Dusk,Police Checkpost,98,66,Male,Valid,Yes,Curve,12.948092,77.619478
Sikkim,Namchi,2020,July,Friday,23:34,Fatal,1,Two-Wheeler,10,0,Stormy,National Highway,Wet,Dawn,Signs,34,45,Female,Valid,Yes,Intersection,27.15465,88.381873
Jharkhand,Ranchi,2019,May,Thursday,9:38,Fatal,1,Pedestrian,5,0,Foggy,National Highway,Damaged,Dark,Police Checkpost,78,26,Male,,Yes,Straight Road,23.334512,85.306691
Manipur,Thoubal,2022,March,Thursday,18:37,Serious,5,Pedestrian,10,2,Hazy,State Highway,Under Construction,Daylight,Police Checkpost,90,66,Male,Expired,Yes,Intersection,24.630815,94.016106
Punjab,Amritsar,2020,August,Wednesday,4:49,Serious,5,Auto-Rickshaw,5,2,Stormy,Urban Road,Damaged,Dark,Signs,99,50,Female,Valid,Yes,Curve,31.632052,74.86933
Haryana,Ambala,2021,December,Wednesday,3:4,Minor,1,Car,6,5,Clear,National Highway,Dry,Daylight,Police Checkpost,115,70,Female,,Yes,Straight Road,30.390917,76.754773
Tripura,Agartala,2023,November,Tuesday,5:7,Serious,3,Car,1,1,Rainy,Village Road,Damaged,Dawn,Signals,76,50,Female,Valid,Yes,Straight Road,23.822547,91.269236
Maharashtra,Mumbai,2022,June,Monday,6:33,Fatal,3,Cycle,2,1,Clear,Village Road,Dry,Dark,Signs,37,18,Female,Valid,No,Curve,19.08679,72.901985
Rajasthan,Jaipur,2021,February,Monday,21:37,Serious,3,Truck,8,5,Foggy,Urban Road,Dry,Dusk,Signals,94,19,Male,,Yes,Curve,26.913601,75.78619
Odisha,Cuttack,2021,May,Sunday,0:39,Minor,3,Two-Wheeler,7,1,Stormy,Urban Road,Damaged,Dusk,Signals,32,25,Female,Expired,No,Intersection,20.477559,85.884281
Himachal Pradesh,Mandi,2020,February,Saturday,7:55,Fatal,1,Car,9,0,Hazy,State Highway,Under Construction,Dawn,Signals,46,53,Male,Expired,Yes,Curve,31.695388,76.909598
Arunachal Pradesh,Naharlagun,2018,October,Saturday,14:10,Serious,5,Auto-Rickshaw,8,2,Rainy,State Highway,Wet,Dawn,Signs,90,39,Male,Expired,Yes,Curve,27.10004,93.719322
Meghalaya,Jowai,2021,June,Thursday,13:31,Serious,2,Bus,1,3,Hazy,State Highway,Dry,Dawn,Signs,107,35,Male,Expired,Yes,Intersection,25.473648,92.21821
Tamil Nadu,Chennai,2021,September,Sunday,14:48,Fatal,1,Pedestrian,8,3,Stormy,Urban Road,Damaged,Daylight,Police Checkpost,63,45,Female,Expired,Yes,Intersection,13.06287,80.291499
Gujarat,Surat,2020,February,Monday,16:29,Fatal,3,Two-Wheeler,1,1,Foggy,State Highway,Dry,Dark,Signals,97,39,Male,Valid,No,Intersection,21.185655,72.808973
Chhattisgarh,Durg,2018,July,Wednesday,8:5,Serious,4,Car,3,3,Hazy,State Highway,Dry,Dusk,Signs,83,26,Female,Valid,Yes,Straight Road,21.174666,81.266032
Odisha,Bhubaneswar,2022,December,Friday,10:46,Minor,3,Car,10,3,Rainy,National Highway,Dry,Dusk,Police Checkpost,61,66,Male,Expired,No,Intersection,20.310741,85.839453
Goa,Mapusa,2020,May,Monday,21:51,Serious,4,Truck,2,2,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,104,57,Male,Expired,Yes,Straight Road,15.592909,73.817674
Jammu and Kashmir,Baramulla,2021,November,Sunday,21:39,Serious,1,Two-Wheeler,0,2,Rainy,State Highway,Dry,Dark,Police Checkpost,41,50,Female,,No,Intersection,34.217832,74.362927
Telangana,Nizamabad,2023,August,Saturday,22:7,Minor,3,Pedestrian,5,0,Stormy,Village Road,Under Construction,Dark,Signs,36,67,Male,Expired,No,Curve,18.670179,78.112494
Arunachal Pradesh,Itanagar,2019,August,Monday,18:44,Fatal,3,Cycle,2,5,Stormy,State Highway,Dry,Dark,Signs,35,32,Male,,Yes,Intersection,27.07097,93.622601
Jharkhand,Dhanbad,2020,September,Sunday,7:27,Serious,3,Cycle,8,3,Clear,National Highway,Wet,Daylight,Signs,40,55,Female,Valid,No,Curve,23.785278,86.419921
Andhra Pradesh,Tirupati,2023,March,Thursday,8:37,Fatal,1,Pedestrian,0,1,Foggy,State Highway,Damaged,Dusk,,49,28,Female,Expired,No,Curve,13.626834,79.421656
Bihar,Bhagalpur,2019,May,Saturday,22:32,Serious,1,Bus,9,5,Clear,State Highway,Damaged,Dark,Police Checkpost,49,57,Male,,Yes,Intersection,25.243868,86.98776
